statename,state,Year,population,density,citi_1,nominate_dim1,Incumbent_D,Incumbent_R,PD,PR,South_ext,counter,favsonD,stategdp,stategdp_percap,counter2,spline,uni_dem,Tashijan
South Carolina,40,1984,3121820,103.9,38.56886673,0.21600001,0,1,0,1,1,4,1,35850200000,11483.74986,16,-2901.3333,1,0
South Dakota,41,1984,690768,9.1,49.82766724,0.303,0,1,1,1,0,4,0,8123000000,11759.37507,16,-2901.3333,0,0
Tennessee,42,1984,4591120,111.3,43.61457062,0.25742859,0,1,1,1,1,4,0,57073100000,12431.19326,16,-2901.3333,0,0
Texas,43,1984,14229191,54.5,35.3639679,0.19990909,0,1,0,1,1,0,0,2.65E+11,18615.44342,0,0,1,0
Utah,44,1984,1461037,17.8,24.83245277,0.25400001,0,1,0,0,0,4,0,19751900000,13519.09637,16,-2901.3333,0,0
Vermont,45,1984,511456,55.5,69.97075653,0.37,0,1,1,1,0,4,0,6268900000,12256.96834,16,-2901.3333,0,0
Virginia,46,1984,5346818,135.4,28.39552116,0.08625,0,1,0,0,1,4,0,79438900000,14857.2291,16,-2901.3333,1,0
Washington,47,1984,4132156,62.2,55.18959427,0.35483333,0,1,0,0,0,4,0,67948800000,16443.90967,16,-2901.3333,0,0
West Virginia,48,1984,1949644,81.1,64.49884796,0.29816666,0,1,1,1,1,4,0,20403300000,10465.14133,16,-2901.3333,1,0
Wisconsin,49,1984,4705767,86.9,51.08834839,0.41514286,0,1,1,1,0,4,0,63169900000,13423.9328,16,-2901.3333,1,0
Wyoming,50,1984,469557,4.8,26.86707878,0.34849998,0,1,0,0,0,4,0,11578000000,24657.28335,16,-2901.3333,0,0
Alabama,1,1988,3893888,76.9,38.51693344,0.093857139,0,0,1,1,1,0,0,60751800000,15601.83549,0,0,0,1
Alaska,2,1988,401851,0.7,54.29391861,0.28400001,0,0,0,0,0,5,0,22925400000,57049.50342,20,-4938.6665,0,1
Arizona,3,1988,2718215,23.9,38.00208664,0.30149999,0,0,0,0,0,5,0,60046700000,22090.48953,20,-4938.6665,0,1
Arkansas,4,1988,2286435,43.9,50.92506409,0.27219999,0,0,1,1,1,0,0,32663600000,14285.8205,0,0,1,1
California,5,1988,23667902,151.9,53.22955704,0.45410344,0,0,1,1,0,5,0,6.15E+11,25999.74852,20,-4938.6665,0,1
Colorado,6,1988,2889964,27.9,42.35702133,0.25349998,0,0,0,0,0,5,0,63919800000,22117.85337,20,-4938.6665,0,1
Connecticut,7,1988,3107576,641.7,77.9734726,0.37150002,0,0,1,1,0,1,0,82983700000,26703.67515,4,-53.333332,1,1
Delaware,8,1988,594338,305,59.77617264,0.24450001,0,0,0,0,0,5,0,15567900000,26193.68104,20,-4938.6665,0,1
Florida,9,1988,9746324,181.8,40.33324814,0.23328571,0,0,1,1,0,5,0,2.05E+11,21014.73335,20,-4938.6665,0,1
Georgia,10,1988,5463105,95,39.64805222,0.17109999,0,0,1,1,1,0,0,1.17E+11,21422.39624,0,0,1,1
Hawaii,11,1988,964691,150.2,66.81409454,0.37233335,0,0,0,0,0,5,0,24272600000,25161.01011,20,-4938.6665,1,1
Idaho,12,1988,943935,11.4,26.04142761,0.083999999,0,0,1,1,0,0,0,13996000000,14827.29213,0,0,0,1
Illinois,13,1988,11426518,205.8,53.42764282,0.39893749,0,0,1,1,0,0,0,2.31E+11,20234.51939,0,0,0,1
Indiana,14,1988,5490224,153.2,47.4295845,0.25033334,0,0,1,1,0,0,0,91650500000,16693.39903,0,0,0,1
Iowa,15,1988,2913808,52.2,54.32581711,0.33766666,0,0,0,0,0,5,0,45282800000,15540.76315,20,-4938.6665,0,1
Kansas,16,1988,2363679,28.9,35.7722702,0.116,0,0,0,0,0,0,0,44163800000,18684.34758,0,0,0,1
Kentucky,17,1988,3660777,92.7,45.55263519,0.26980001,0,0,1,1,1,0,0,56282200000,15374.38637,0,0,1,1
Louisiana,18,1988,4205900,97.3,35.38049316,0.075999998,0,0,1,1,1,1,0,78487900000,18661.38044,4,-53.333332,1,1
Maine,19,1988,1124660,36.5,70.6521225,0.32749999,0,0,0,0,0,5,0,19166200000,17041.77262,20,-4938.6665,0,1
Maryland,20,1988,4216975,434.4,73.5368576,0.287375,0,0,1,1,0,5,0,91380500000,21669.68028,20,-4938.6665,1,1
Massachusetts,21,1988,5737037,735.5,89.10190582,0.38941666,0,0,1,1,0,5,1,1.39E+11,24211.01694,20,-4938.6665,1,1
Michigan,22,1988,9262078,163.8,64.02066803,0.43907693,0,0,0,1,0,1,0,1.69E+11,18272.02276,4,-53.333332,0,1
Minnesota,23,1988,4075970,51.2,62.52239227,0.36179999,0,0,0,0,0,5,0,85364800000,20943.43187,20,-4938.6665,1,1
Mississippi,24,1988,2520638,53.7,41.27409744,0.169,0,0,1,1,1,5,0,33530800000,13302.50516,20,-4938.6665,1,1
Missouri,25,1988,4916686,71.5,52.58987427,0.34780002,0,0,1,1,0,5,0,88911900000,18083.70516,20,-4938.6665,0,1
Montana,26,1988,786690,5.4,51.95367432,0.28533334,0,0,1,1,0,2,0,11383300000,14469.86742,8,-426.66666,0,1
Nebraska,27,1988,1569825,20.4,37.73205948,0.15450001,0,0,1,1,0,0,0,26759500000,17046.16757,0,0,0,1
Nevada,28,1988,800493,7.3,50.99674225,0.22999999,0,0,0,0,0,0,0,21950700000,27421.47652,0,0,0,1
New Hampshire,29,1988,920610,102.8,41.31595612,0.17,0,0,1,1,0,5,0,20994000000,22804.44488,20,-4938.6665,0,1
New Jersey,30,1988,7364823,"1,001.40",69.92195892,0.32879999,0,0,1,1,0,0,0,1.75E+11,23711.21478,0,0,0,1
New Mexico,31,1988,1302894,10.7,46.8981514,0.29350001,0,0,1,1,0,1,0,22429400000,17215.06124,4,-53.333332,0,1
New York,32,1988,17558072,372.6,67.80090332,0.40928572,0,0,1,1,0,5,0,4.18E+11,23824.11919,20,-4938.6665,0,1
North Carolina,33,1988,5881766,121,43.52318573,0.22766666,0,0,1,1,1,5,0,1.13E+11,19256.47841,20,-4938.6665,0,1
North Dakota,34,1988,652717,9.5,68.93792725,0.31133333,0,0,1,1,0,0,0,10305900000,15789.23178,0,0,0,1
Ohio,35,1988,10797630,264.3,49.4199791,0.3033846,0,0,1,1,0,0,0,1.92E+11,17761.694,0,0,0,1
Oklahoma,36,1988,3025290,44.1,36.01776505,0.14560001,0,0,1,1,1,5,0,49055300000,16215.0736,20,-4938.6665,0,1
Oregon,37,1988,2633105,27.4,65.17717743,0.32666665,0,0,1,1,0,5,0,44594400000,16936.05078,20,-4938.6665,1,1
